Date,Close/Last,Volume,Open,High,Low
03/13/2026,$395.55,26848000,$401.00,$404.80,$394.25
03/12/2026,$401.86,27263890,$404.63,$406.12,$401.71
03/11/2026,$404.88,25512140,$405.57,$409.01,$401.59
03/10/2026,$405.76,31706380,$410.03,$410.20,$402.93
03/09/2026,$409.41,30131850,$404.915,$410.21,$403.50
03/06/2026,$408.96,31123860,$409.20,$413.05,$408.5101
03/05/2026,$410.68,39001320,$404.42,$411.61,$404.40
03/04/2026,$405.20,35807990,$401.265,$411.0326,$400.31
03/03/2026,$403.93,38199210,$393.14,$406.70,$392.67
03/02/2026,$398.55,35474910,$392.855,$401.19,$390.63
02/27/2026,$392.74,51367200,$390.88,$396.82,$389.88
02/26/2026,$401.72,34405870,$404.71,$407.49,$398.74
02/25/2026,$400.60,43625480,$390.525,$401.47,$390.16
02/24/2026,$389.00,33884650,$384.14,$389.36,$381.71
02/23/2026,$384.47,43238270,$395.00,$395.36,$383.10
02/20/2026,$397.23,34015250,$396.11,$400.1159,$395.16
02/19/2026,$398.46,28234000,$400.69,$404.43,$396.67
02/18/2026,$399.60,23223420,$398.13,$402.56,$396.32
02/17/2026,$396.86,32078790,$399.22,$400.52,$394.525
